337.225,324;  304.457,300;  99.7304,106;  81.5047,88;  
337.365,326;  310.851,301;  99.6899,102;  81.3275,85;  
340.476,323;  303.629,297;  100.821,109;  82.7222,91;  
341.751,326;  300.454,293;  99.0626,108;  81.6348,90;  
341.955,326;  279.509,282;  108.332,109;  89.3539,91;  
336.501,323;  272.85,269;  99.6319,117;  82.3455,97;  
341.067,325;  255.237,259;  108.129,110;  89.9298,92;  
340.681,327;  250.338,249;  103.546,112;  86.4061,93;  
342.526,328;  237.149,244;  113.545,108;  94.9649,90;  
340.578,330;  230.945,236;  106.109,108;  89.1092,90;  
339.895,328;  226.091,232;  106.003,112;  89.172,93;  
337.729,325;  224.088,228;  107.554,113;  90.466,94;  
341.604,330;  220.36,226;  111.649,108;  93.8761,90;  
337.108,329;  223.671,225;  112.029,107;  94.0882,89;  
338.537,326;  221.248,220;  110.384,114;  92.8269,95;  
337.564,330;  216.965,221;  110.284,105;  92.8596,88;  
338.306,331;  217.995,222;  117.524,107;  98.6762,89;  
342.04,328;  213.517,217;  109.914,114;  92.6475,95;  
339.659,333;  215.844,213;  115.937,106;  97.4297,89;  
337.907,333;  210.424,214;  108.528,106;  91.6084,88;  
335.312,329;  209.058,207;  110.093,113;  92.8912,94;  
337.127,333;  208.226,206;  115.761,107;  97.4205,89;  
338.125,335;  204.051,207;  106.767,101;  90.3446,84;  
337.002,334;  204.518,203;  111.257,103;  93.8822,86;  
337.002,344;  204.518,200;  111.257,88;  93.8822,73;  
335.187,339;  198.882,195;  103.711,93;  88.0414,77;  
335.187,338;  198.882,196;  103.711,96;  88.0414,80;  
336.877,335;  195.373,192;  97.6019,98;  83.4266,82;  
333.487,338;  195.843,196;  91.9065,93;  79.0546,77;  
337.431,347;  198.692,197;  93.4,85;  80.1602,70;  
335.985,345;  198.767,193;  89.2529,93;  77.0218,77;  
340.445,351;  197.67,197;  94.7892,82;  81.2912,68;  
338.727,349;  200.261,201;  92.0694,82;  79.1281,68;  
334.911,348;  197.13,198;  90.543,87;  78.0209,72;  
336.755,337;  201.352,200;  94.915,98;  81.2175,81;  
336.755,344;  201.352,202;  94.915,92;  81.2175,76;  
336.755,339;  201.352,202;  94.915,96;  81.2175,80;  
336.755,340;  201.352,203;  94.915,94;  81.2175,78;  
330.792,337;  202.637,201;  85.1828,97;  73.7555,80;  
333.452,333;  206.553,202;  89.3794,96;  76.8017,79;  
331.791,328;  207.822,204;  96.7423,90;  82.3962,75;  
327.502,325;  211.295,205;  92.5225,88;  78.9979,73;  
324.385,313;  212.338,211;  91.1831,93;  77.919,77;  
319.971,308;  209.111,210;  85.3121,95;  73.4851,79;  
313.134,300;  213.875,213;  88.9025,95;  76.1417,79;  
310.524,293;  218.639,215;  92.3998,96;  78.8073,80;  
309.151,285;  220.843,216;  94.1827,105;  80.1883,87;  
305.984,279;  221.59,217;  92.9568,105;  79.2476,87;  
305.118,279;  228.813,220;  89.9946,96;  76.555,80;  
301.869,271;  228.5,221;  93.5839,104;  79.55,86;  
296.784,270;  227.842,222;  89.367,99;  76.3162,83;  
296.947,269;  226.474,222;  94.2,96;  80.3032,80;  
296.947,268;  226.474,224;  94.2,97;  80.3032,81;  
294.012,260;  231.305,223;  93.0464,109;  79.1973,91;  
295.727,264;  227.976,224;  96.0184,101;  81.7397,84;  
296.46,257;  225.892,222;  100.726,108;  85.6383,90;  
295.995,251;  232.376,223;  96.0452,117;  81.5003,97;  
294.631,255;  229.297,224;  97.8227,104;  83.1584,87;  
293.415,250;  226.168,226;  99.5849,107;  84.7947,89;  
292.705,244;  227.086,225;  101.33,111;  86.1552,93;  
286.657,242;  227.363,226;  99.1043,108;  84.5211,90;  
283.626,235;  227.434,225;  98.0142,111;  83.7277,92;  
283.448,231;  224.474,228;  104.67,106;  88.9179,89;  
274.514,223;  227.375,227;  94.8439,115;  81.4476,95;  
274.184,221;  227.746,226;  96.5881,113;  82.7631,94;  
274.344,223;  223.587,228;  96.6352,108;  83.0798,90;  
272.005,223;  226.796,226;  92.044,108;  79.3519,90;  
281.235,219;  224.159,227;  105.189,112;  89.2004,93;  
273.898,219;  232.122,226;  96.5686,112;  82.4337,94;  
269.359,217;  230.456,227;  89.1373,108;  76.8841,90;  
270.806,216;  231.964,228;  95.5377,110;  81.6951,91;  
265.694,217;  234.925,230;  88.0593,106;  75.82,88;  
273.898,216;  232.122,229;  96.5686,110;  82.4337,92;  
268.589,214;  231.047,228;  90.9604,111;  78.2991,92;  
285.73,213;  212.629,229;  109.036,118;  92.639,98;  
280.239,321;  224.268,303;  102.026,37;  87.0176,31;  
280.108,176;  224.11,204;  100.382,37;  85.8221,31;  
285.796,234;  220.578,229;  104.125,116;  88.8314,96;  
294.118,243;  220.684,229;  107.363,117;  91.2289,98;  
304.805,252;  217.336,228;  114.752,121;  96.981,101;  
309.912,260;  217.144,227;  116.993,128;  98.6936,106;  
319.754,274;  213.594,225;  124.049,123;  104.248,103;  
317.391,284;  216.035,226;  118.987,122;  100.225,102;  
320.159,295;  214.907,226;  118.691,119;  99.9688,99;  
322.47,303;  216.089,227;  122.662,119;  103.072,99;  
331.368,308;  217.877,222;  124.791,128;  104.634,107;  
335.656,316;  211.939,226;  131.773,127;  110.335,106;  
337.91,318;  210.897,219;  131.673,136;  110.244,113;  
342.069,325;  212.985,219;  131.588,130;  110.145,109;  
342.33,327;  210.906,223;  134.975,132;  112.902,110;  
345.898,331;  216.221,220;  132.709,133;  111.064,111;  
346.338,338;  213.141,224;  134.921,129;  112.868,107;  
350.985,347;  212.252,223;  136.977,132;  114.57,110;  
356.683,356;  212.711,224;  135.643,137;  113.552,114;  
361.908,364;  214.33,225;  135.428,134;  113.511,111;  
367.017,372;  213.16,222;  137.406,140;  115.252,117;  
372.078,381;  212.041,221;  139.31,142;  116.952,118;  
380.407,387;  206.978,223;  134.331,141;  113.087,117;  
379.384,399;  211.338,228;  137.811,137;  115.99,114;  
394.44,401;  211.046,228;  131.143,145;  111.172,120;  
sum_err = 4285.17  arr_err =42.8517
