,165,239,165,125,160,240,
,189,239,164,145,160,245,
,217,239,162,165,155,255,
,236,238,173,195,155,250,
,261,237,172,220,160,250,
,280,237,171,235,160,245,
,297,234,172,250,155,250,
,312,235,161,260,155,250,
,329,239,143,275,160,240,
,333,238,149,275,155,255,
,329,236,171,275,155,260,
,336,241,159,280,155,265,
,338,243,154,285,165,250,
,334,241,162,285,160,250,
,342,245,150,285,160,255,
,334,241,164,280,155,260,
,330,235,166,275,150,265,
,326,231,165,275,150,255,
,323,229,163,265,140,270,
,312,226,164,255,140,265,
,303,222,168,255,140,255,
,295,222,164,240,135,260,
,287,219,162,230,135,265,
,276,217,165,225,135,255,
,272,217,159,225,140,250,
,266,219,152,215,140,245,
,257,216,160,210,130,250,
,253,215,159,210,135,240,
,253,213,151,210,140,235,
,249,211,151,205,130,240,
,243,209,159,200,130,240,
,241,209,154,200,130,235,
,240,209,156,200,130,235,
,237,209,157,195,130,240,
,244,214,148,195,130,240,
,239,212,164,200,135,245,
,242,209,177,195,130,260,
,254,212,165,195,120,270,
,263,213,167,210,125,265,
,270,216,171,220,130,270,
,282,217,172,225,130,275,
,294,223,165,235,130,280,
,304,224,167,245,130,275,
,317,227,159,250,130,285,
,322,228,162,260,135,280,
,327,225,171,265,135,270,
,335,228,165,270,130,280,
,340,229,161,275,135,275,
,344,231,156,280,140,275,
,345,230,160,275,135,285,
,347,229,159,275,135,280,
,347,230,152,275,130,285,
,351,228,150,280,130,275,
,355,228,144,285,130,270,
,340,217,174,280,130,275,
,344,215,170,285,135,265,
,336,206,185,285,135,265,
,364,230,134,290,135,260,
,363,230,134,290,135,265,
,363,229,134,290,130,275,
,350,216,163,295,135,260,
,360,230,141,290,135,265,
,354,220,156,300,140,255,
,362,226,143,295,135,260,
,368,229,134,300,135,260,
,364,228,143,295,135,265,
,360,233,134,280,130,275,
,358,232,134,285,135,270,
,348,228,153,280,130,270,
,349,229,148,280,130,275,
,340,224,162,280,135,265,
,340,226,156,270,130,280,
,343,226,152,270,130,275,
,333,222,166,275,135,270,
,341,227,146,270,130,275,
,333,223,162,270,140,260,
,339,230,139,275,140,255,
,324,221,163,270,140,250,
,321,220,156,265,135,260,
,319,222,157,265,145,250,
,313,220,166,260,140,250,
,308,223,157,255,140,250,
,303,224,162,255,145,245,
,294,224,168,255,150,245,
,291,229,163,250,155,240,
,292,231,156,250,160,230,
,291,232,152,250,155,235,
,289,233,150,245,155,240,
,291,234,144,245,155,235,
,288,231,148,245,155,235,
,287,232,148,245,155,230,
,285,232,148,245,155,230,
,284,232,145,240,155,230,
,279,232,149,235,155,235,
,275,233,145,235,155,230,
,269,233,150,230,160,225,
,261,233,153,220,155,235,
,255,232,151,215,155,230,
,247,232,151,205,155,235,
,239,233,150,200,160,225,
,232,236,144,190,155,230,
,219,233,152,180,155,230,
,211,234,151,165,155,230,
,204,234,146,155,155,235,
,193,232,148,145,155,240,
,185,233,149,140,155,235,
,176,233,149,130,150,245,
,171,233,146,125,155,235,
,164,234,149,120,155,235,
,160,234,149,115,155,245,
,157,235,148,110,150,255,
,154,235,149,105,155,250,
,152,235,150,100,150,260,
,150,235,149,95,150,260,
,149,233,151,100,150,255,
,146,233,152,95,150,265,
,145,234,153,95,150,260,
,141,231,161,100,155,250,
,144,232,155,95,150,260,
,141,231,162,90,145,265,
,137,227,165,90,140,270,
,141,230,157,90,145,265,
,137,229,160,85,145,270,
,140,232,150,85,140,270,
,136,230,156,85,140,265,
,128,228,164,85,145,265,
,131,230,158,80,140,265,
,124,228,164,75,145,265,
,121,227,158,75,150,260,
,115,224,169,70,140,270,
,109,223,162,55,140,275,
,110,227,145,60,140,265,
,108,227,144,45,135,275,
,99,225,154,50,140,265,
,102,229,134,45,140,270,
,95,230,145,45,140,265,
,93,230,144,40,140,265,
,93,232,134,40,145,255,
,93,233,134,40,140,260,
,92,232,148,40,140,270,
,95,234,146,40,145,265,
,102,235,134,50,150,255,
,106,235,134,45,140,270,
,104,231,149,55,145,260,
,115,232,148,65,145,255,
,115,227,158,70,140,265,
,125,228,153,80,145,250,
,130,225,161,90,145,255,
,143,226,154,100,145,245,
,151,228,153,110,150,240,
,159,227,156,120,150,240,
,172,230,151,125,150,245,
,181,232,153,135,155,240,
,189,236,156,145,155,245,
,196,241,158,150,160,250,
,201,245,161,160,170,235,
,208,250,157,165,175,245,
,214,252,158,170,175,245,
,219,252,158,175,175,240,
,224,253,153,180,175,245,
,225,256,154,180,175,250,
,225,259,157,185,180,240,
,225,261,159,185,185,235,
,229,264,155,185,190,235,
,231,266,155,195,195,230,
,232,267,154,195,195,230,
,234,267,155,195,190,230,
,233,270,158,195,190,240,
,238,276,152,195,200,235,
,236,279,157,195,205,235,
,240,284,153,200,210,240,
,240,289,159,205,215,230,
,243,295,154,205,225,225,
,242,301,155,205,230,225,
,244,305,153,205,230,225,
,242,305,157,210,235,220,
,242,304,159,210,235,220,
,242,304,160,215,235,215,
,243,303,158,210,230,220,
,243,303,159,210,230,225,
,243,300,160,210,225,230,
,245,296,157,210,230,225,
,246,293,158,210,225,230,
,249,292,156,210,215,235,
,247,284,160,210,215,235,
,249,277,159,210,200,240,
,250,270,164,210,190,245,
,251,263,163,205,185,250,
,255,257,161,210,175,250,
,253,251,164,205,175,250,
,262,251,153,210,165,245,
,259,243,161,210,160,250,
,263,236,161,210,150,260,
,264,231,159,215,145,255,
,266,230,149,205,140,260,
,269,228,145,210,140,260,
,272,224,154,210,135,265,
,270,223,167,210,130,270,
,265,220,179,210,130,275,
,274,224,170,210,130,280,
,279,226,166,215,125,285,
,285,228,166,220,130,280,
,296,230,162,225,130,280,
,305,228,163,235,135,275,
,319,234,148,235,130,285,
,323,235,152,245,125,295,
,336,240,143,250,130,285,
