226.857,225;177.968,185;250.55,245;
228.377,230;178.832,185;251.783,245;
231.036,235;179.421,185;250.326,240;
233.881,235;180.415,180;247.823,245;
232.292,240;178.455,185;253.943,240;
234.282,235;178.184,180;251.451,245;
234.186,240;176.659,180;252.75,240;
233.243,240;176.347,185;253.603,240;
235.463,235;180.394,185;248.285,245;
235.301,235;180.038,180;249.347,245;
233.216,235;177.547,185;253.36,240;
235.206,235;181.207,185;249.156,245;
235.935,235;179.678,185;250.643,240;
235.605,235;180.195,185;252.539,245;
239.85,240;184.144,185;248.195,245;
242.42,245;184.515,185;251.114,240;
244.351,250;185.26,185;252.755,245;
249.016,255;187.691,185;253.37,245;
255.097,265;191.469,190;250.789,245;
261.32,275;197.309,195;249.012,235;
264.315,285;203.495,200;247.785,230;
265.711,280;198.085,195;256.69,245;
271.494,295;210.451,200;243.847,230;
273.254,290;210.387,195;244.635,240;
268.175,285;203.338,195;247.231,235;
262.651,275;205.288,195;240.662,235;
241.955,250;201.603,205;250.275,240;
241.111,250;200.182,200;251.481,240;
240.041,240;196.226,195;254.557,260;
238.175,245;190.577,200;261.011,250;
237.639,245;188.971,200;265.432,255;
237.866,245;186.431,195;271.785,260;
236.249,245;182.898,190;277.076,260;
234.039,235;180.085,185;276.169,275;
235.818,230;178.031,175;284.358,285;
231.074,235;172.512,175;286.738,285;
225.591,230;168.32,165;287.487,290;
226.466,230;164.059,165;292.303,290;
219.842,230;157.97,160;303.809,300;
216.694,230;151.094,160;301.005,295;
212.519,220;145.217,150;306.41,310;
214.9,220;146.612,145;303.919,315;
225.879,225;150.906,150;292.126,300;
228.91,240;147.591,155;305.048,300;
250.034,255;158.398,160;290.754,295;
277.684,290;177.082,175;264.332,250;
290.629,300;185.623,175;261.335,270;
304.885,295;193.22,160;253.67,300;
298.543,335;149.851,180;309.993,265;
295.254,330;151.278,180;309.12,275;
306.119,310;203.689,175;251.815,290;
292.974,320;192.618,185;266.269,255;
295.664,305;198.2,180;251.887,260;
281.206,295;184.689,185;260.478,255;
267.992,270;183.463,175;262.218,265;
246.768,255;171.528,175;277.343,270;
231.251,235;171.12,175;272.136,275;
206.901,215;168.794,175;281.532,265;
187.986,190;171.841,180;272.819,270;
164.857,165;173.523,180;280.623,275;
147.934,140;173.682,185;290.592,270;
124.036,115;187.422,190;257.857,265;
137.379,140;178.551,190;278.135,260;
153.73,150;180.081,185;261.536,265;
162.619,165;176.109,185;274.481,265;
176.834,180;177.547,190;271.512,260;
186.033,185;179.077,190;259.514,260;
192.334,190;179.216,185;257.992,260;
193.43,195;178.838,190;262.671,255;
193.205,195;180.347,190;259.342,255;
190.468,195;181.582,190;260.347,255;
186.353,180;180.173,185;264.284,265;
182.804,180;183.042,195;257.641,255;
173.882,170;184.262,190;260.508,255;
161.119,160;182.846,195;264.3,260;
155.597,155;186.78,200;259.275,255;
149.927,140;188.055,190;260.911,265;
145.031,135;188.066,190;264.029,265;
142.883,130;191.806,185;255.455,270;
140.536,135;190.58,195;261.585,260;
138.816,130;191.833,190;260.322,265;
137.482,130;189.471,190;267.713,270;
141.241,130;193.254,190;260.23,270;
251.876,260;196.072,190;248.73,240;
241.833,250;193.719,195;249.177,240;
232.133,235;189.851,195;248.821,235;
225.315,225;192.309,195;242.711,240;
213.268,215;190.015,195;244.657,240;
205.182,210;190.669,195;245.553,240;
196.511,200;190.573,195;245.259,235;
188.618,195;191.806,195;244.108,235;
185.599,180;195.651,195;235.968,240;
174.327,175;193.392,195;240.367,240;
175.378,175;197.593,195;231.534,235;
170.349,165;195.436,200;235.385,230;
164.563,160;194.935,195;237.247,240;
165.376,155;195.761,200;233.541,240;
165.921,155;198.516,200;231.125,240;
167.384,160;201.267,200;228.816,235;
165.871,160;201.932,200;235.071,240;
